"year_study","branch_study","which_library_you_most_often","how_do_visit_library","what_your_primary_purpose_visiting_library","when_you_mostly_the_library","at_what_time_day_you_usually_the_library","where_you_feel_study_effectively","do_prefer_studying_in_library_alone_or_with_friends","how_helpful_are_library_books_resources_your_academic_performance","x_how_would_rate_physical_condition_the_library_seating_lighting_noise_levels_cleanliness","what_your_current_cgpa_range","what_the_major_difficulty_faced_by_in_library","x_overall_how_satisfied_are_with_library_facilities_and_resources"
"3rd","IT","Central","2-3 times a week","Reading academic materials","Regular semester days","Afternoon","In my hostel/room","With friends/group","Somewhat helpful","Good","7.0 – 8.0","Outdated  material/resources","Neutral"
"4th","EE","Digital","Daily","Self-study","Both mid term and final exams","No fixed time","In the library","Both, depending on situation","Somewhat helpful","Good","8.0 – 9.0","Lack of seating space","Satisfied"
"4th","IPE","Digital","2-3 times a week","Self-study","Regular semester days","Afternoon","In classrooms/other study spaces","Both, depending on situation","Somewhat helpful","Good","7.0 – 8.0","Outdated  material/resources","Satisfied"
"2nd","IT","Central","Once a week","Self-study","Both mid term and final exams","Morning","No fixed preference","With friends/group","Somewhat helpful","Poor","7.0 – 8.0","Lack of seating space","Dissatisfied"
"2nd","ME","Central","Rarely","Reading academic materials","During mid-term exams","Evening","In the library","Both, depending on situation","Very helpful","Average","7.0 – 8.0","Difficulty in searching books","Very satisfied"
"2nd","EE","Central","2-3 times a week","Borrowing books","Regular semester days","Morning","In the library","Alone","Very helpful","Excellent","Below 6.0","Limited availability of books","Very satisfied"
"4th","VLSI","Central","Daily","Self-study","Regular semester days","No fixed time","In my hostel/room","Both, depending on situation","Very helpful","Average","7.0 – 8.0","No difficulty","Satisfied"
"2nd","ECE","Central","Rarely","Group study/discussion","During final exams","Evening","In classrooms/other study spaces","With friends/group","Not helpful","Average","8.0 – 9.0","Poor network access","Dissatisfied"
"1st","IT","Central","Once a week","Reading academic materials","During mid-term exams","Morning","In my hostel/room","With friends/group","Not helpful","Average","7.0 – 8.0","Outdated  material/resources","Neutral"
"2nd","DS","Central","2-3 times a week","Reading academic materials","During mid-term exams","Afternoon","In my hostel/room","With friends/group","Somewhat helpful","Good","6.0 – 7.0","Lack of seating space","Satisfied"
"2nd","M&C","Central","Once a week","Self-study","During final exams","Evening","In classrooms/other study spaces","Both, depending on situation","Not helpful","Average","7.0 – 8.0","Outdated  material/resources","Neutral"
"2nd","ICE","Digital","Rarely","Group study/discussion","During final exams","No fixed time","No fixed preference","With friends/group","Somewhat helpful","Good","7.0 – 8.0","Lack of seating space","Neutral"
"2nd","ECE","Central","2-3 times a week","Group study/discussion","During mid-term exams","Evening","In classrooms/other study spaces","With friends/group","Somewhat helpful","Good","6.0 – 7.0","Outdated  material/resources","Very dissatisfied"
"2nd","ICE","Central","Rarely","Group study/discussion","Both mid term and final exams","No fixed time","No fixed preference","Both, depending on situation","I don’t use library books","Poor","8.0 – 9.0","Difficulty in searching books","Dissatisfied"
"2nd","IPE","Central","Daily","Internet/Computer access","During final exams","No fixed time","In my hostel/room","With friends/group","Not helpful","Good","9.0 – 10.0","Poor network access","Dissatisfied"
"3rd","CSE","Digital","2-3 times a week","Internet/Computer access","Both mid term and final exams","No fixed time","In my hostel/room","Alone","I don’t use library books","Good","7.0 – 8.0","Limited availability of books, Outdated  material/resources, Difficulty in searching books","Neutral"
"3rd","IT","Digital","Rarely","Self-study","Both mid term and final exams","No fixed time","No fixed preference","Both, depending on situation","I don’t use library books","Average","7.0 – 8.0","Limited availability of books, Outdated  material/resources, Difficulty in searching books","Satisfied"
"3rd","CSE","Central","Rarely","Self-study","Both mid term and final exams","No fixed time","In my hostel/room","Alone","Somewhat helpful","Good","7.0 – 8.0","Limited availability of books, Lack of seating space, Difficulty in searching books","Satisfied"
"3rd","CSE","Digital","Rarely","Self-study","Both mid term and final exams","Afternoon","In the library","Both, depending on situation","Somewhat helpful","Good","7.0 – 8.0","Lack of seating space","Neutral"
"2nd","DS","Central","2-3 times a week","Self-study","Both mid term and final exams","Evening","No fixed preference","Both, depending on situation","Somewhat helpful","Average","7.0 – 8.0","Limited availability of books, Outdated  material/resources, Difficulty in searching books","Satisfied"
"2nd","IT","Central","2-3 times a week","Self-study","During mid-term exams","Afternoon","In the library","Both, depending on situation","I don’t use library books","Average","7.0 – 8.0","Limited availability of books, Lack of seating space","Neutral"
"1st","BT","Digital","Never","Internet/Computer access","Both mid term and final exams","No fixed time","No fixed preference","Both, depending on situation","I don’t use library books","Poor","9.0 – 10.0","No difficulty","Very dissatisfied"
"1st","IT","Digital","2-3 times a week","Self-study","Both mid term and final exams","No fixed time","In the library","Alone","Somewhat helpful","Good","6.0 – 7.0","No difficulty","Neutral"
"3rd","CSE","Digital","Rarely","Self-study","Regular semester days","Evening","In my hostel/room","Alone","Very helpful","Good","7.0 – 8.0","No difficulty","Satisfied"
"2nd","Civil Engineering","Digital","Daily","Self-study","Regular semester days","Evening","In the library","Both, depending on situation","I don’t use library books","Good","7.0 – 8.0","No difficulty","Neutral"
"3rd","CSE","Central","Rarely","Borrowing books","Regular semester days","Evening","No fixed preference","Alone","Somewhat helpful","Average","7.0 – 8.0","Difficulty in searching books, Poor network access","Neutral"
"1st","CSE","Digital","Daily","Self-study","Regular semester days","No fixed time","In the library","Alone","Very helpful","Excellent","9.0 – 10.0","Lack of seating space","Very satisfied"
"2nd","CSE","Central","2-3 times a week","Self-study","During final exams","No fixed time","In the library","Alone","Somewhat helpful","Average","7.0 – 8.0","Poor network access","Neutral"
"4th","BT","Digital","Rarely","Self-study","During final exams","Afternoon","No fixed preference","Alone","I don’t use library books","Excellent","8.0 – 9.0","Outdated  material/resources","Satisfied"
"3rd","M&C","Digital","Rarely","Group study/discussion","During final exams","Afternoon","In classrooms/other study spaces","With friends/group","Not helpful","Average","6.0 – 7.0","Outdated  material/resources","Neutral"
"1st","Civil Engineering","Digital","Daily","Internet/Computer access","Regular semester days","No fixed time","No fixed preference","Alone","Somewhat helpful","Good","8.0 – 9.0","Outdated  material/resources, Difficulty in searching books","Satisfied"
"3rd","CSE","Central","Never","Internet/Computer access","Both mid term and final exams","No fixed time","No fixed preference","With friends/group","I don’t use library books","Poor","7.0 – 8.0","Lack of seating space","Neutral"
"2nd","Chemical Engineering","Central","2-3 times a week","Reading academic materials","During final exams","No fixed time","No fixed preference","With friends/group","Somewhat helpful","Average","7.0 – 8.0","Difficulty in searching books, Poor network access","Dissatisfied"
"4th","CSE","Central","Rarely","Self-study","Both mid term and final exams","No fixed time","No fixed preference","Alone","I don’t use library books","Good","8.0 – 9.0","No difficulty","Satisfied"
"2nd","Textile Engineering","Central","Once a week","Borrowing books","Both mid term and final exams","No fixed time","In classrooms/other study spaces","With friends/group","Very helpful","Good","6.0 – 7.0","Difficulty in searching books","Satisfied"
"3rd","M&C","Digital","Once a week","Internet/Computer access","Regular semester days","Morning","In my hostel/room","Alone","Very helpful","Excellent","7.0 – 8.0","Lack of seating space","Dissatisfied"
"2nd","M&C","Central","Once a week","Reading academic materials","During mid-term exams","Evening","No fixed preference","Both, depending on situation","I don’t use library books","Average","7.0 – 8.0","Outdated  material/resources","Neutral"
"1st","ECE","Central","Daily","Reading academic materials","Regular semester days","No fixed time","No fixed preference","Both, depending on situation","I don’t use library books","Excellent","8.0 – 9.0","No difficulty","Very satisfied"
"3rd","CSE","Central","Rarely","Self-study","Regular semester days","Evening","In my hostel/room","With friends/group","Somewhat helpful","Average","7.0 – 8.0","Limited availability of books, Lack of seating space, Difficulty in searching books","Neutral"
"1st","IT","Digital","Once a week","Self-study","Both mid term and final exams","No fixed time","No fixed preference","Alone","Somewhat helpful","Average","6.0 – 7.0","Lack of seating space","Neutral"
"3rd","ECE","Central","Once a week","Borrowing books","Both mid term and final exams","Afternoon","In my hostel/room","Both, depending on situation","Very helpful","Average","8.0 – 9.0","Limited availability of books, Outdated  material/resources","Neutral"
"3rd","IT","Central","Rarely","Borrowing books","During mid-term exams","Afternoon","In my hostel/room","Alone","Very helpful","Good","8.0 – 9.0","Difficulty in searching books","Satisfied"
